Date,Open,High,Low,Close,Adj Close,Volume
13-10-03,1675,1900,1630,1695.300049,1574.419922,15306
20-10-03,1770,1770,1542,1623.849976,1508.064575,5321
27-10-03,1650,1710,1561,1700.550049,1579.29541,6337
03-11-03,1710,1798.949951,1641,1656.550049,1538.433228,12875
10-11-03,1700,1948.949951,1700,1726.900024,1603.76709,20252
17-11-03,1775,1850,1701,1794.900024,1666.918335,16039
24-11-03,1791,1940,1775,1851.449951,1719.435669,9423
01-12-03,1880,1895,1752,1791.949951,1664.178345,9835
08-12-03,1751.050049,2237,1751.050049,2179.850098,2024.419189,35487
15-12-03,2200,2550,2175,2313.350098,2148.400879,46623
22-12-03,2280,2448,2201,2412.850098,2240.806641,22642
29-12-03,2420,2490,2285.050049,2410.949951,2239.041992,18772
05-01-04,2419,2430,2230,2300.800049,2136.746582,15306
12-01-04,2275.25,2327,2181,2196.5,2039.882935,9208
19-01-04,2201,2201,1801,1936.199951,1798.1427,12192
26-01-04,1936.199951,2060,1830,1851.550049,1719.528564,8196
02-02-04,1851.550049,1851.550049,1756,1840,1708.802368,9044
09-02-04,1831,2210.949951,1826,2153.100098,1999.577637,15267
16-02-04,2200,2200,1966,1977.400024,1836.405273,8950
23-02-04,2010,2019.800049,1810.099976,1877.400024,1743.535645,7809
01-03-04,1890,1989.949951,1880.25,1940.650024,1816.15332,5050
08-03-04,1921.099976,1944.900024,1807,1828.849976,1711.525513,3644
15-03-04,1840,1859.949951,1575,1605.300049,1502.316895,5564
22-03-04,1634,1634,1382,1434.150024,1342.146362,12136
29-03-04,1450,1620,1450,1613.25,1509.757324,6641
05-04-04,1664,1738.949951,1650,1693.5,1584.858521,9557
12-04-04,1720,1750,1674,1676.050049,1568.528076,7417
19-04-04,1681.050049,1725,1605,1709.599976,1599.925171,3872
26-04-04,1715,1720,1550,1556.949951,1457.068359,6065
03-05-04,1588,1670,1555,1655.050049,1548.875488,26935
10-05-04,1635,1650,1450,1541.449951,1442.562988,23879
17-05-04,1525,1537,1380,1417.199951,1326.283813,4995
24-05-04,1450,1475,1351.099976,1369.349976,1281.50354,5609
31-05-04,1306,1384,1290,1349.650024,1263.066772,4171
07-06-04,1350,1500,1342.099976,1464.550049,1370.596313,13914
14-06-04,1460,1474,1390,1464.150024,1370.222168,4385
21-06-04,1450,1451.900024,1310,1351.849976,1265.126709,2791
28-06-04,1361.25,1412,1331,1387.800049,1298.769531,2969
05-07-04,1385,1440,1323.050049,1401.650024,1311.731445,29023
12-07-04,1398,1411.5,1350,1393.099976,1303.730103,4063
19-07-04,1390,1425,1375,1403.099976,1313.087769,3216
26-07-04,1410,1450,1380,1397.699951,1308.035156,3369
02-08-04,1410,1575,1370,1548.5,1449.160522,7744
09-08-04,1525.050049,2044,1503,1871.099976,1754.809814,51432
16-08-04,1857,2100,1845,1953,1831.619263,42301
23-08-04,1942,2035,1881,1954.099976,1832.651245,17110
30-08-04,1972.099976,2000,1927.400024,1954.099976,1832.651245,11212
06-09-04,1974,2044.699951,1950,1996.75,1872.650391,14909
13-09-04,2009,2255,1995,2203.850098,2066.878662,37665
20-09-04,2229.899902,2245,2100,2119.100098,1987.396362,14221
27-09-04,2149.899902,2150,2025,2037.699951,1911.055298,10495
04-10-04,2124,2248.899902,2010,2093.800049,1963.668579,29916
11-10-04,2080,2174,2002,2061,1932.90686,14390
18-10-04,2150,2160,2005,2037.199951,1910.586548,6914
25-10-04,2049,2089,1980,2019.650024,1894.126587,6040
