Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,33755.000000,34944.351563,31002.000000,33774.449219,33387.238281,162770
2016-06-01,33700.000000,33879.000000,30101.000000,33077.648438,32698.410156,120754
2016-07-01,33077.648438,35840.050781,33050.000000,33844.148438,33456.117188,122734
2016-08-01,33960.000000,38087.949219,33650.000000,37431.800781,37002.648438,217073
2016-09-01,37750.000000,51515.449219,37099.500000,50872.550781,50429.042969,504722
2016-10-01,51810.000000,54650.000000,46199.949219,47955.550781,47537.464844,416088
2016-11-01,48288.000000,53940.000000,46451.000000,49900.101563,49465.066406,363747
2016-12-01,50799.949219,53448.000000,47512.300781,48905.648438,48482.132813,236549
2017-01-01,49000.000000,55945.000000,48799.750000,51659.500000,51212.152344,276098
2017-02-01,51401.000000,52840.000000,49577.000000,51835.050781,51386.175781,244975
2017-03-01,51999.000000,61220.000000,51086.699219,60954.449219,60430.164063,477389
2017-04-01,60935.000000,70500.000000,60062.398438,67909.203125,67325.093750,347490
2017-05-01,67909.203125,69750.000000,62000.000000,65559.101563,64995.214844,348749
2017-06-01,65619.500000,74147.500000,65619.500000,68325.898438,67738.195313,349746
2017-07-01,68458.500000,71500.000000,68201.000000,69198.750000,68603.554688,198696
2017-08-01,69567.046875,70999.796875,62382.050781,64089.601563,63587.410156,297021
2017-09-01,64090.000000,65650.000000,61000.000000,63005.300781,62511.605469,242481
2017-10-01,63005.300781,67343.898438,62409.800781,66422.453125,65901.992188,158514
2017-11-01,66789.898438,70500.000000,63614.050781,68583.500000,68046.101563,217033
2017-12-01,68601.000000,74500.000000,65323.898438,72357.046875,71793.218750,199048
2018-01-01,72572.000000,73570.000000,66750.000000,68113.351563,67582.570313,153736
2018-02-01,68115.000000,73840.000000,64000.000000,73391.601563,72819.695313,191722
2018-03-01,73391.601563,74100.000000,68170.000000,72513.250000,71951.281250,110236
2018-04-01,72700.000000,81425.953125,72542.351563,79933.453125,79313.968750,176863
2018-05-01,79933.453125,81400.000000,72701.000000,75734.046875,75147.109375,167501
2018-06-01,75811.000000,76860.000000,72605.000000,74974.453125,74393.406250,99297
2018-07-01,75270.000000,81190.953125,73666.000000,79490.351563,78874.304688,122282
2018-08-01,79987.000000,80396.796875,73000.000000,74026.750000,73453.039063,168784
2018-09-01,73777.000000,74169.953125,62300.000000,63598.550781,63148.570313,137398
2018-10-01,64100.000000,64959.949219,59601.000000,64498.550781,64042.195313,167065
2018-11-01,64498.550781,69340.000000,64498.050781,67332.046875,66855.648438,119673
2018-12-01,67500.000000,69900.000000,63666.000000,66984.703125,66513.789063,120194
2019-01-01,67299.000000,67400.000000,60540.148438,61289.199219,60858.328125,108669
2019-02-01,61489.199219,62699.898438,53858.351563,56839.550781,56439.964844,194796
2019-03-01,56907.000000,58790.000000,55895.148438,57987.148438,57582.558594,127056
2019-04-01,58150.000000,61684.000000,52500.000000,52905.000000,52535.867188,126442
2019-05-01,52905.000000,57928.050781,51586.300781,55265.101563,54879.503906,169596
2019-06-01,55403.250000,57741.050781,54114.898438,56609.601563,56214.617188,114041
2019-07-01,56840.000000,57147.949219,52636.550781,53548.750000,53175.128906,107665
2019-08-01,53450.000000,59499.000000,52411.148438,58590.050781,58181.246094,110742
2019-09-01,58590.050781,67467.000000,57495.050781,63291.550781,62913.390625,139631
2019-10-01,63299.000000,66300.000000,60283.550781,65673.750000,65281.351563,108462
2019-11-01,65990.000000,66495.601563,62400.000000,63397.050781,63018.269531,95125
2019-12-01,63397.050781,66990.000000,61252.000000,66330.296875,65937.117188,103800
2020-01-01,66199.000000,70999.953125,64300.000000,69674.750000,69261.742188,183014
2020-02-01,69789.000000,73565.703125,65315.000000,66393.203125,65999.640625,168515
2020-03-01,66891.000000,68558.351563,49915.101563,58164.449219,57822.109375,314792
2020-04-01,57900.000000,62340.000000,54500.000000,60510.648438,60154.496094,269696
2020-05-01,60510.648438,60510.648438,56150.000000,59113.101563,58765.171875,153200
2020-06-01,59500.000000,67725.000000,59365.601563,67274.500000,66878.554688,258376
2020-07-01,66800.000000,67550.000000,60602.000000,61048.550781,60689.230469,278335
2020-08-01,61000.000000,64600.000000,57520.050781,57987.449219,57646.148438,428774
2020-09-01,58500.000000,60001.000000,55300.000000,59572.199219,59221.562500,330700
2020-10-01,59570.000000,69608.453125,57860.050781,65303.250000,65022.085938,525042
2020-11-01,65500.000000,81249.398438,64760.050781,77738.648438,77403.937500,1151484
2020-12-01,79400.000000,80102.351563,73777.750000,75750.453125,75427.359375,544252
2021-01-01,76000.000000,96479.703125,75550.000000,84069.148438,83710.570313,1019908
2021-02-01,84888.000000,98599.953125,83803.546875,84498.148438,84137.750000,1131786
